pl_name,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_orbsmax,pl_orbeccen,st_teff,st_mass,st_rad,st_lum,hab
Kepler-444 e,0.546,0.1,4.8,727,0.0696,0.1,5046,0.758,0.752,-0.42455,0
MOA-2010-BLG-328L b,2.99,9.2,1.89,,0.92,,,0.11,,,0
HIP 107773 b,13.4,629.3034,1.44,,0.72,0.09,4945,2.42,11.6,1.87,0
Kepler-430 b,3.25,10.6,1.7,667,0.2244,0,5884,1.166,1.485,0.31207,0
Kepler-874 b,3.94,14.7,1.32,560,0.2234,0,6020,1.09,1.13,0.13758,0
Kepler-876 b,1.43,2.63,4.94,923,0.0549,0,5060,0.81,0.77,-0.33828,0
Kepler-780 b,0.89,0.64,4.99,2099,0.015,0,5769,1.01,1.02,0.0169,0
Kepler-802 b,3.54,12.3,1.52,489,0.2265,0,5507,0.93,0.9,-0.22563,0
Kepler-799 b,6.88,37.9,0.64,433,0.5167,0,5681,0.95,0.93,-0.09,0
Kepler-872 b,1.99,4.62,3.22,1230,0.0362,0,5902,1.05,1.08,-0.14573,0
Kepler-870 b,2.78,8.15,2.08,691,0.1539,0,5857,1.01,1.02,0.04289,0
K2-30 b,11.646151,184.02357,0.64,1092,0.04839,0,5425,0.9,0.844,-0.25649,0
Kepler-851 b,1.68,3.46,4.01,900,0.0802,0,5455,0.89,0.85,-0.273,0
Kepler-798 b,2.39,6.3,2.54,864,0.1174,0,6224,1.19,1.29,0.22222,0
Kepler-797 b,2.17,5.35,2.88,605,0.181,0,5680,0.96,0.95,0.46974,0
Kepler-869 b,3.61,12.7,1.48,494,0.2244,0,5664,0.97,0.95,-0.11047,0
Kepler-868 b,2.05,4.86,3.1,1047,0.0575,0,5614,0.93,0.89,0.06838,0
Kepler-477 b,2.07,4.94,3.06,649,0.0911,0,5240,0.87,0.79,-0.372,0
Kepler-847 b,1.18,1.76,5.89,1054,0.0315,0,4940,0.83,0.77,-0.5065,0
Kepler-795 b,1.68,3.46,4.01,580,0.1803,0,5631,0.94,0.96,-0.02178,0
Kepler-796 b,1.3,2.24,5.6,1109,0.07317,0,5475,0.93,1.09,0.57234,0
Kepler-753 b,1.91,4.31,3.4,641,0.054,0,4346,0.68,0.65,-0.86467,0
Kepler-866 b,1.63,3.29,4.17,996,0.0331,0,4751,0.75,0.71,-0.70483,0
Kepler-867 b,4.64,19.4,1.07,327,0.5375,0,5541,0.92,0.91,0.11686,0
Kepler-865 b,2.49,6.76,2.41,694,0.1057,0,5570,0.93,0.92,-0.29754,0
Kepler-754 b,2.01,4.7,3.18,758,0.116,0,5935,1.06,1.08,0.41554,0
Kepler-748 b,2.52,6.9,2.37,938,0.0745,0,5934,1.07,1.1,0.36017,0
Kepler-793 b,1.37,2.45,5.24,1177,0.0491,0,5745,0.98,0.97,0.11018,0
Kepler-792 b,1.96,4.5,3.28,852,0.0988,0,5971,1.09,1.12,0.27379,0
Kepler-863 b,2.9,8.75,1.97,718,0.122,0,5678,0.96,0.95,0.21514,0
Kepler-752 b,2.81,8.3,2.06,632,0.1353,0,5373,0.87,0.83,-0.12488,0
Kepler-766 b,3.39,11.4,1.61,990,0.066,0,5992,1.1,1.15,0.45132,0
Kepler-841 b,5.23,23.8,0.914,416,0.479,0,5324,0.85,0.81,-0.36224,0
Kepler-790 b,2.18,5.39,2.86,634,0.101,0,5208,0.84,0.8,-0.42384,0
Kepler-861 b,2.28,5.82,2.7,966,0.0463,0,5047,0.82,0.78,-0.42701,0
Kepler-860 b,3.24,10.6,1.71,1050,0.058,0,5836,1.04,1.06,-0.15726,0
